Project Name,Task Name,Duration (days),Start Date(dd/mm/yyyy),End date (dd/mm/yyyy)
Bluewatch,Setup Data,2,18/07/2020,20/07/2020
Bluewatch,Deploy Data,1,21/07/2020,22/07/2020
